figure,script,primary_data,status
placement_pareto_05b,reports/figures/plot_placement_pareto.py,reports/figures/plot_placement_pareto.py:rows,final
phase_memory_2x3_05b,reports/figures/plot_phase_memory_2x3.py,outputs/pa-repro-fp32-v1/summary,final
allgpu_vs_phase_offload_05b,reports/figures/plot_allgpu_vs_phase_offload.py,outputs/pa-repro-fp32-late-optimizer-smoke-v2/summary,final
phase_best_vs_cpu_adamw_compact,outputs/phase-best-vs-cpu-adamw-memory-v1/plot_phase_best_vs_cpu_adamw.py,outputs/phase-best-vs-cpu-adamw-performance-v1;outputs/phase-best-vs-cpu-adamw-memory-v1,final
nostream_vs_16mib_optimized,outputs/pa-repro-fp32-v1/streaming-summary/plot_nostream_vs_16mib_optimized.py,outputs/nostream-vs-16mib-direct-remeasure-v1;outputs/stream16-pipeline-performance-3x-gpu1-v1,final
rootcause_abc_comparison,outputs/rootcause-abc-sequential-gpu1-v1/plot_rootcause.py,outputs/rootcause-abc-sequential-gpu1-v1/rootcause_summary.json,diagnostic
cpu_adam_05b_by_phase,outputs/pa-repro-fp32-v1/cpu-adam-summary/plot_cpu_adam_05b_phases.py,outputs/pa-late-gpu-adam-30steps-v1;outputs/pa-cpu-adam-all-phase-fp32-v1,final
nostream_vs_16mib_optimized_legacy_residual,,residual-derived,excluded
qwen15b_fp32_capacity,outputs/pa-capacity-fp32-qwen15b-bucket-sweep-v1/summary/plot_15b_capacity.py,outputs/pa-capacity-fp32-qwen15b-v1;outputs/pa-capacity-fp32-qwen15b-nostream-oom-snapshot-v2;outputs/pa-capacity-fp32-qwen15b-bucket-sweep-v1,final
bucket_size_sweep_05b,reports/final-figure-data/collected/05_bucket_size_sweep_05b/optimized_bucket_sweep.json,outputs/pa-optimized-bucket-sweep-v1,diagnostic_overlap_off
